Date,Open,High,Low,Close,Volume,Adj Close
1989-02-24,277.170013,277.170013,272.040009,272.040009,321360000,136.020004
1989-02-23,276.299988,277.170013,275.140015,277.170013,300740000,138.585007
1989-02-22,281.660004,281.660004,276.230011,276.299988,326280000,138.149994
1989-02-21,282.390015,282.690002,280.690002,281.660004,283900000,140.830002
1989-02-17,281.089996,283.25,280.649994,282.390015,319040000,141.195007
1989-02-16,280.899994,281.339996,280.140015,281.089996,354900000,140.544998
1989-02-15,277.649994,280.950012,277.200012,280.899994,308440000,140.449997
1989-02-14,279.019989,280.850006,277.26001,277.649994,301220000,138.824997
1989-02-13,278.269989,279.73999,277.109985,279.019989,287040000,139.509995
1989-02-10,282.470001,282.470001,278.220001,278.269989,347120000,139.134995
1989-02-09,285.049988,285.230011,281.26001,282.470001,448440000,141.235001
1989-02-08,286.350006,287.50,284.700012,285.049988,378840000,142.524994
1989-02-07,282.769989,287.399994,282.440002,286.350006,434520000,143.175003
1989-02-06,283.649994,283.839996,281.649994,282.769989,301960000,141.384995
1989-02-03,283.98999,284.820007,283.059998,283.649994,345960000,141.824997
1989-02-02,284.679993,285.390015,282.950012,283.98999,366860000,141.994995
1989-02-01,284.880005,285.980011,283.600006,284.679993,431280000,142.339996
1989-01-31,281.809998,284.880005,280.390015,284.880005,388100000,142.440002
1989-01-30,280.700012,282.059998,280.359985,281.809998,335660000,140.904999
1989-01-27,277.640015,282.940002,277.640015,280.700012,509740000,140.350006
1989-01-26,274.720001,278.709991,273.790009,277.640015,424500000,138.820007
1989-01-25,274.160004,274.720001,273.529999,274.720001,367220000,137.360001
1989-01-24,269.920013,274.160004,269.899994,274.160004,379240000,137.080002
1989-01-23,273.100006,273.279999,269.920013,269.920013,283280000,134.960007
1989-01-20,272.420013,272.50,271.130005,271.660004,332240000,135.830002
1989-01-19,272.190002,273.23999,271.440002,272.420013,384060000,136.210007
1989-01-18,269.01001,272.399994,267.980011,272.230011,374900000,136.115005
1989-01-17,269.609985,269.720001,268.51001,269.01001,287860000,134.505005
1989-01-16,269.350006,270.589996,269.170013,269.609985,234760000,134.804993
1989-01-13,268.899994,269.859985,268.339996,269.350006,264640000,134.675003
1989-01-12,267.440002,270.429993,267.390015,268.899994,366000000,134.449997
1989-01-11,265.670013,267.440002,265.359985,267.440002,297900000,133.720001
1989-01-10,266.459991,267.040009,264.589996,265.670013,280840000,132.835007
1989-01-09,266.209991,267.160004,265.720001,266.459991,326360000,133.229996
1989-01-06,265.540009,267.790009,265.540009,266.209991,322660000,133.104996
1989-01-05,264.970001,267.109985,264.970001,265.540009,348080000,132.770004
1989-01-04,261.019989,265.299988,261.019989,264.970001,299400000,132.485001
1989-01-03,263.859985,263.859985,259.660004,261.019989,257000000,130.509995
1988-12-30,266.290009,266.559998,263.859985,263.859985,254420000,131.929993
1988-12-29,264.079987,266.339996,264.070007,266.299988,262580000,133.149994
1988-12-28,263.950012,264.720001,263.290009,264.079987,221260000,132.039993
1988-12-27,264.929993,265.399994,263.859985,263.950012,174980000,131.975006
1988-12-23,264.23999,265.220001,264.230011,264.929993,163520000,132.464996
1988-12-22,264.890015,265.630005,264.23999,264.23999,301020000,132.119995
1988-12-21,265.070007,265.48999,263.609985,264.890015,294500000,132.445007
1988-12-20,266.470001,268.23999,265.059998,265.070007,322180000,132.535004
1988-12-19,263.450012,266.809998,262.880005,266.470001,324500000,133.235001
1988-12-16,262.160004,263.76001,262.160004,263.450012,392960000,131.725006
1988-12-15,262.589996,263.01001,261.299988,262.160004,273640000,131.080002
1988-12-14,264.630005,264.630005,261.769989,262.589996,264700000,131.294998
1988-12-13,263.220001,264.630005,261.290009,264.630005,264680000,132.315002
1988-12-12,263.640015,265.579987,263.209991,263.220001,248320000,131.610001
1988-12-09,262.920013,264.369995,262.730011,263.640015,267540000,131.820007
1988-12-08,264.859985,264.859985,262.890015,262.920013,248300000,131.460007
1988-12-07,264.480011,265.970001,264.170013,264.859985,296720000,132.429993
1988-12-06,261.429993,264.670013,261.109985,264.480011,316680000,132.240005
1988-12-05,261.429993,262.109985,257.869995,261.429993,289320000,130.714996
1988-12-02,258.869995,258.890015,256.630005,257.869995,249220000,128.934998
1988-12-01,260.26001,260.26001,258.890015,258.890015,258760000,129.445007
1988-11-30,258.01001,260.98999,257.910004,260.26001,315620000,130.130005
1988-11-29,255.639999,258.440002,255.160004,258.00,254840000,129.00
1988-11-28,253.660004,256.140015,253.649994,255.639999,246960000,127.82
1988-11-25,255.830002,255.850006,253.190002,253.679993,144180000,126.839996
1988-11-23,254.339996,256.690002,254.339996,255.850006,224020000,127.925003
1988-11-22,252.910004,255.070007,252.169998,254.339996,254000000,127.169998
1988-11-21,252.800003,252.919998,249.850006,252.919998,240860000,126.459999
1988-11-18,250.949997,253.179993,250.929993,252.800003,238640000,126.400002
1988-11-17,250.610001,251.690002,249.559998,250.929993,282560000,125.464996
1988-11-16,255.110001,255.149994,248.440002,249.559998,323420000,124.779999
1988-11-15,254.369995,255.490005,254.369995,255.089996,230340000,127.544998
1988-11-14,254.270004,255.619995,253.240005,254.369995,285800000,127.184998
1988-11-11,260.029999,260.040009,254.270004,254.270004,271000000,127.135002
1988-11-10,259.839996,260.950012,259.420013,260.040009,257840000,130.020004
1988-11-09,260.98999,261.179993,258.529999,259.850006,306280000,129.925003
1988-11-08,260.100006,261.98999,260.040009,261.179993,283320000,130.589996
1988-11-07,261.869995,261.869995,259.410004,260.040009,267740000,130.020004
1988-11-04,264.73999,264.73999,261.869995,261.869995,287160000,130.934998
1988-11-03,264.660004,266.070007,264.619995,264.73999,305960000,132.369995
1988-11-02,264.50,265.079987,262.609985,264.660004,322600000,132.330002
1988-11-01,264.230011,265.160004,263.529999,264.50,302500000,132.25
1988-10-31,263.839996,265.519989,262.429993,264.230011,286920000,132.115005
1988-10-28,262.350006,264.730011,262.220001,263.839996,292600000,131.919998
1988-10-27,265.570007,265.730011,260.929993,262.220001,393080000,131.110001
1988-10-26,267.200012,267.299988,265.160004,265.730011,363100000,132.865005
1988-10-25,266.600006,267.690002,266.399994,267.209991,310380000,133.604996
1988-10-24,268.149994,268.459991,266.589996,266.600006,341180000,133.300003
1988-10-21,268.019989,268.149994,265.649994,268.149994,390820000,134.074997
1988-10-20,260.579987,268.019989,260.470001,268.019989,379160000,134.009995
1988-10-19,263.450012,264.399994,257.839996,260.579987,372700000,130.289993
1988-10-18,260.720001,263.480011,260.25,263.380005,325000000,131.690002
1988-10-17,259.570007,260.869995,258.98999,260.549988,238580000,130.274994
1988-10-14,259.380005,261.329987,258.130005,259.600006,320480000,129.800003
1988-10-13,258.420013,260.25,257.910004,259.290009,309060000,129.645004
1988-10-12,262.00,262.179993,257.519989,258.440002,309680000,129.220001
1988-10-11,262.299988,262.359985,260.649994,262.179993,281800000,131.089996
1988-10-10,261.730011,262.769989,260.940002,262.359985,249320000,131.179993
1988-10-07,256.179993,261.910004,256.149994,261.73999,432780000,130.869995
